[aback][смущённый]
[abase][унижать понижать]
[feasible][выполнимый возможный]
[fecund][плодородный продуктивный]
[feign][притворяться симулировать]
[felicity][счастье блаженство]
[fervent][пылкий страстный]
[fester][гнить нарывать]
[fetid][вонючий зловонный]
[fetter][сковывать ограничивать]
[fickle][непостоянный переменчивый]
[fidelity][верность преданность]
[finesse][ловкость мастерство]
[flagrant][вопиющий ужасный]
[flamboyant][яркий вычурный]
[flaunt][щеголять выставлять]
[fledgling][неопытный начинающий]
[flippant][легкомысленный дерзкий]
[flout][попирать презирать]
[foible][слабость пунктик]
[foster][способствовать поощрять]
[gainsay][отрицать оспаривать]
[gall][раздражать уязвлять]
[galvanize][возбуждать оживлять]
[gambit][уловка маневр]
[gamut][гамма диапазон]
[garish][яркий кричащий]
[garner][копить собирать]
[garrulous][болтливый словоохотливый]
[gauche][неуклюжий бестактный]
[gaunt][изможденный худой]
[genial][добродушный приветливый]
[germane][уместный подходящий]
[ghastly][ужасный жуткий]
[gibe][насмехаться издеваться]
[giddy][легкомысленный головокружительный]
[glib][гладкий поверхностный]
[glower][сердиться хмуриться]
[glut][избыток пресыщение]
[goad][подгонять стимулировать]
[gorge][обжираться жадничать]
[gossamer][тонкий прозрачный]
[gourmet][гурман лакомка]
[grandiose][грандиозный величественный]
[gratuitous][безвозмездный необоснованный]
[gregarious][общительный стадный]
[grievance][жалоба обида]
[grimace][гримаса ужимка]
[grovel][пресмыкаться унижаться]
[guile][хитрость коварство]
[gullible][доверчивый наивный]
[hallow][освящать почитать]
[hallucination][галлюцинация бред]
[hamper][препятствовать мешать]
[haphazard][случайный беспорядочный]
[hapless][несчастный горемычный]
[harangue][разглагольствовать тирада]
[harass][изводить беспокоить]
[harbinger][предвестник вестник]
[hardy][выносливый стойкий]
[harrowing][мучительный терзающий]
[haughty][надменный высокомерный]
[haven][убежище гавань]
[havoc][опустошение разгром]
[hazard][опасность риск]
[headstrong][упрямый своенравный]
[hearken][прислушиваться внимать]
[hectic][лихорадочный суматошный]
[hector][запугивать задирать]
[heed][внимать учитывать]
[heinous][чудовищный гнусный]
[herald][возвещать объявлять]
[heresy][ересь заблуждение]
[hermetic][герметичный закрытый]
[heyday][расцвет зенит]
[hiatus][пробел перерыв]
[hideous][отвратительный уродливый]
[hinder][задерживать препятствовать]
[histrionic][театральный наигранный]
[hoary][седой древний]
[homage][почтение дань]
[iconoclast][бунтарь иконоборец]
[idiosyncrasy][особенность своеобразие]
[ignominious][позорный бесчестный]
[illicit][незаконный запретный]
[imbue][наполнять пропитывать]
[immaculate][безупречный чистый]
[immutable][неизменный постоянный]
[impassive][бесстрастный невозмутимый]
[impeccable][безупречный совершенный]
[impede][препятствовать затруднять]
[imperious][властный повелительный]
[impetuous][импульсивный стремительный]
[impious][нечестивый безбожный]
[implacable][неумолимый непримиримый]
[implicit][неявный подразумеваемый]
[implore][умолять заклинать]
[impudent][наглый дерзкий]
[impugn][оспаривать опровергать]
[inane][пустой глупый]
[incessant][непрерывный постоянный]
[incisive][острый проницательный]
[incite][подстрекать побуждать]
[indigent][бедный нуждающийся]
[indolent][ленивый праздный]
[inefable][невыразимый несказанный]
[inert][инертный вялый]
[infamous][печальноизвестный позорный]
[ingenuous][искренний простодушный]
[inherent][присущий врожденный]
[innocuous][безвредный безобидный]
[jabber][бормотать тараторить]
[jaded][изнуренный пресыщенный]
[jangle][дребезжать ссориться]
[jargon][жаргон арго]
[jaundice][зависть предубеждение]
[jaunt][прогулка поездка]
[jaunty][бойкий веселый]
[jealous][ревнивый завистливый]
[jeer][насмехаться глумиться]
[jejune][пустой скучный]
[jeopardize][рисковать подставлять]
[jeopardy][опасность риск]
[jerk][толкать дергать]
[jettison][выбрасывать отвергать]
[jibe][согласовываться совпадать]
[jilt][бросать покидать]
[jingoism][шовинизм национализм]
[jocular][шутливый забавный]
[jocund][веселый жизнерадостный]
[jog][подталкивать напоминать]
[jollity][веселье пиршество]
[jostle][толкаться теснить]
[jovial][общительный веселый]
[jubilant][ликующий восторженный]
[judicious][рассудительный разумный]
[jumble][перемешивать путать]
[junction][стык соединение]
[juncture][момент положение]
[jurisdiction][юрисдикция полномочия]
[justify][оправдывать обосновывать]
[keen][острый страстный]
[ken][кругозор знание]
[kernel][ядро основа]
[killjoy][зануда ворчун]
[kindle][зажигать возбуждать]
[kindred][родственный близкий]
[kinetic][кинетический подвижный]
[kinship][родство близость]
[kismet][судьба рок]
[knack][смекалка навык]
[knave][плут мошенник]
[knead][месить замешивать]
[knell][звон предзнаменование]
[knit][вязать скреплять]
[knoll][холм бугор]
[knotty][запутанный сложный]
[kowtow][пресмыкаться кланяться]
[kudos][похвала слава]
[knave][жулик хитрец]
[kind][добрый сорт]
[keepsake][сувенир память]
[keyboard][клавиатура раскладка]
[keynote][основа лейтмотив]
[kicker][неожиданность изюминка]
[kidnap][похищать уводить]
[kilter][порядок исправность]
[kink][изгиб странность]
[kleptomania][клептомания воровство]
[knighthood][рыцарство достоинство]
[knobby][узловатый шишковатый]
[labyrinth][лабиринт путаница]
[lacerate][раздирать терзать]
[lachrymose][плаксивый слезливый]
[lackadaisical][вялый апатичный]
[lackey][лакей прислужник]
[laconic][лаконичный краткий]
[lag][отставать медлить]
[lament][оплакивать сокрушаться]
[lampoon][высмеивать пасквиль]
[languid][томный вялый]
[languish][изнывать чахнуть]
[larceny][кража воровство]
[largesse][щедрость дары]
[lassitude][усталость апатия]
[latent][скрытый латентный]
[laud][хвалить превозносить]
[lavish][расточительный обильный]
[lax][слабый небрежный]
[leery][осторожный подозрительный]
[legible][разборчивый четкий]
[lenient][снисходительный мягкий]
[lethargic][сонный вялый]
[levity][легкомыслие ветреность]
[lewd][похотливый распутный]
[liability][ответственность обязательство]
[libel][клевета навет]
[licentious][разнузданный распущенный]
[limpid][прозрачный ясный]
[lithe][гибкий изящный]
[loathe][ненавидеть презирать]
[macabre][жуткий мрачный]
[machination][махинация интрига]
[magnanimous][великодушный благородный]
[magnate][магнат делец]
[malady][болезнь недуг]
[malice][злоба злоумысел]
[malign][порочить вредный]
[malleable][податливый гибкий]
[mandate][мандат поручение]
[manifest][проявлять очевидный]
[mar][портить повреждать]
[marginal][незначительный крайний]
[maverick][индивидуалист бунтарь]
[meager][скудный тощий]
[meander][бродить извиваться]
[meddle][вмешиваться лезть]
[mediocre][посредственный заурядный]
[melancholy][меланхолия уныние]
[mellifluous][мелодичный сладкозвучный]
[menace][угроза опасность]
[mendacious][лживый обманчивый]
[mercurial][непостоянный подвижный]
[merit][заслуга достоинство]
[meticulous][тщательный дотошный]
[mettle][характер выдержка]
[mimic][подражать имитировать]
[minuscule][крошечный мизерный]
[mirth][веселье радость]
[misanthrope][мизантроп человеконенавистник]
[mitigate][смягчать уменьшать]
[nab][схватить арестовать]
[nadir][упадок низину]
[naive][наивный простодушный]
[narcissism][нарциссизм самовлюбленность]
[nascent][возникающий рождающийся]
[natter][болтать тараторить]
[naughty][капризный непослушный]
[nausea][тошнота отвращение]
[nebulous][туманный расплывчатый]
[nefarious][гнусный нечестивый]
[negate][отрицать опровергать]
[negligence][халатность небрежность]
[nemesis][возмездие мститель]
[neophyte][новичок неофит]
[nepotism][кумовство протекция]
[nettle][раздражать уязвлять]
[neutralize][нейтрализовать подавлять]
[nexus][связь узел]
[niggardly][скупой жадный]
[nimble][ловкий шустрый]
[nirvana][блаженство покой]
[noble][благородный знатный]
[nocturnal][ночной полуночный]
[noisome][вредный зловонный]
[nomadic][кочевой бродячий]
[nominal][номинальный формальный]
[nonchalant][беспечный небрежный]
[nonentity][ничтожество пустышка]
[nostalgia][ностальгия тоска]
[notorious][пресловутый известный]
[obdurate][упрямый черствый]
[obeisance][поклон почтение]
[obfuscate][запутывать усложнять]
[obituary][некролог объявление]
[objective][объективный беспристрастный]
[obligatory][обязательный необходимый]
[obliterate][уничтожать стирать]
[oblivion][забвение небытие]
[obnoxious][противный неприятный]
[obscure][неясный скрывать]
[obsequious][подобострастный услужливый]
[obsolete][устаревший вышедший]
[obstinate][упрямый настойчивый]
[obtrude][навязывать выпячивать]
[obtuse][тупой бестолковый]
[obviate][устранять избавлять]
[occult][тайный магический]
[odious][гнусный ненавистный]
[offset][возмещать компенсировать]
[ogle][глазеть заигрывать]
[ominous][зловещий угрожающий]
[omission][упущение пропуск]
[omnipotent][всемогущий всесильный]
[onerous][обременительный тягостный]
[opaque][непрозрачный матовый]
[opulent][богатый пышный]
[oracle][оракул прорицатель]
[ordain][предопределять назначать]
[ostensible][мнимый предлогом]
[ostentatious][показной хвастливый]
[pacify][умиротворять успокаивать]
[pact][договор соглашение]
[palatable][вкусный приемлемый]
[palliate][смягчать облегчать]
[palpable][ощутимый явный]
[paltry][ничтожный пустяковый]
[panacea][панацея лекарство]
[paradigm][парадигма образец]
[paragon][образец совершенство]
[pariah][изгой отверженный]
[parity][равенство паритет]
[parsimony][скупость бережливость]
[partisan][сторонник приверженец]
[paucity][нехватка дефицит]
[pedantic][педантичный дотошный]
[penchant][склонность расположение]
[pensive][задумчивый печальный]
[penury][нищета бедность]
[perfidious][предательский вероломный]
[perfunctory][поверхностный небрежный]
[peril][опасность риск]
[perjury][лжесвидельство клятвопреступление]
[permeate][проникать пропитывать]
[pernicious][пагубный вредный]
[perpetuate][увековечивать сохранять]
[perplex][запутывать смущать]
[perseverance][настойчивость упорство]
[pertinent][уместный подходящий]
[peruse][изучать просматривать]
[pervasive][вездесущий всеобъемлющий]
[quack][шарлатан лекарь]
[quadrant][сектор четверть]
[quaff][пить поглощать]
[quagmire][трясина болото]
[quail][дрожать пугаться]
[quaint][необычный причудливый]
[quake][дрожать сотрясаться]
[qualm][сомнение опасение]
[quandary][затруднение недоумение]
[quarantine][карантин изоляция]
[quarrel][ссора раздор]
[quarry][добыча карьер]
[quash][подавлять аннулировать]
[quasi][мнимый почти]
[quaver][дрожать вибрировать]
[queasy][тошнотворный привередливый]
[queer][странный чудной]
[quell][подавлять успокаивать]
[quench][гасить утолять]
[querulous][ворчливый жалующийся]
[query][запрос вопрос]
[quest][поиск стремление]
[queue][очередь последовательность]
[quibble][придирка уклонение]
[quicken][ускорять оживлять]
[quiescent][тихий неподвижный]
[quietus][освобождение финал]
[quintessence][суть воплощение]
[quip][колкость острота]
[quirk][странность причуда]
[rabid][бешеный яростный]
[radiant][сияющий лучистый]
[rancor][злоба вражда]
[rankle][терзать мучить]
[rant][разглагольствовать кричать]
[rapacious][жадный хищный]
[ratify][утверждать одобрять]
[raucous][хриплый резкий]
[ravage][опустошать разорять]
[ravenous][алчный прожорливый]
[raze][разрушать сносить]
[rebuff][отпор отказ]
[rebuke][упрекать корить]
[recalcitrant][упрямый непокорный]
[recant][отрекаться отказываться]
[recapitulate][резюмировать повторять]
[reciprocal][взаимный ответный]
[recluse][затворник отшельник]
[recondite][сложный неясный]
[rectitude][честность правота]
[redolent][благоухающий напоминающий]
[redoubtable][грозный внушительный]
[redundant][излишний избыточный]
[refute][опровергать оспаривать]
[reiterate][повторять подтверждать]
[relegate][изгонять ссылать]
[relinquish][оставлять уступать]
[reminisce][вспоминать предаваться]
[remiss][небрежный халатный]
[remorse][раскаяние угрызения]
[sagacious][проницательный мудрый]
[salient][заметный выдающийся]
[salubrious][целебный полезный]
[sanctimonious][ханжеский лицемерный]
[sanguine][оптимистичный уверенный]
[sarcasm][сарказм язвительность]
[satiate][насыщать пресыщать]
[scanty][скудный недостаточный]
[scathing][едкий уничтожающий]
[scrupulous][добросовестный тщательный]
[scrutinize][изучать исследовать]
[sedentary][сидячий малоподвижный]
[sedition][крамола мятеж]
[sedulous][усердный прилежный]
[sever][разрывать отделять]
[shun][избегать сторониться]
[sinister][зловещий дурной]
[skeptic][скептик сомневающийся]
[sloth][лень праздность]
[slovenly][неряшливый небрежный]
[sluggish][вялый медлительный]
[solace][утешение успокоение]
[solicitous][заботливый внимательный]
[somber][мрачный хмурый]
[soothe][успокаивать смягчать]
[spasmodic][судорожный порывистый]
[specious][обманчивый показной]
[sporadic][случайный единичный]
[spurious][ложный поддельный]
[squalid][убогий нищенский]
[tacit][негласный подразумеваемый]
[taciturn][молчаливый замкнутый]
[tactile][осязаемый тактильный]
[taint][пятнать портить]
[tangible][ощутимый реальный]
[tantalize][мучить дразнить]
[tantamount][равносильный эквивалентный]
[tarnish][тускнеть порочить]
[taut][натянутый упругий]
[tedious][нудный скучный]
[temerity][безрассудство смелость]
[temperate][умеренный сдержанный]
[tenable][логичный прочный]
[tenacious][цепкий упорный]
[tentative][пробный неуверенный]
[tenuous][тонкий слабый]
[tepid][теплый равнодушный]
[terse][краткий лаконичный]
[thrifty][бережливый экономный]
[thwart][препятствовать мешать]
[timorous][боязливый робкий]
[tirade][тирада обличение]
[torpid][вялый оцепенелый]
[tortuous][извилистый запутанный]
[tractable][податливый послушный]
[transient][преходящий временный]
[treacherous][предательский коварный]
[tremulous][дрожащий робкий]
[trenchant][острый резкий]
[trepidation][трепет беспокойство]
[ubiquitous][вездесущий повсеместный]
[umbrage][обида негодование]
[unabated][неослабевающий постоянный]
[uncanny][сверхъестественный странный]
[unconscionable][бессовестный чрезмерный]
[uncouth][грубый неотёсанный]
[unctuous][елейный слащавый]
[undermine][подрывать подтачивать]
[underscore][подчеркивать выделять]
[undulate][волноваться извиваться]
[unfeigned][искренний неподдельный]
[unfettered][неограниченный свободный]
[unfounded][беспричинный необоснованный]
[unilateral][односторонний]
[unkempt][неопрятный растрёпанный]
[unmitigated][абсолютный явный]
[unobtrusive][скромный ненавязчивый]
[unprecedented][беспрецедентный небывалый]
[unruly][непослушный буйный]
[unscrupulous][беспринципный недобросовестный]
[unseemly][непристойный неподобающий]
[untenable][несостоятельный шаткий]
[untoward][неблагоприятный неудачный]
[unwitting][непреднамеренный невольный]
[upbraid][укорять бранить]
[uproar][шум беспорядок]
[urbane][вежливый изысканный]
[usurp][узурпировать захватывать]
[utilitarian][прагматичный полезный]
[utopia][утопия идеал]
[vacillate][колебаться сомневаться]
[vacuous][пустой бессодержательный]
[vagrant][бродячий кочующий]
[vain][тщеславный напрасный]
[valiant][доблестный храбрый]
[validate][подтверждать ратифицировать]
[valor][отвага мужество]
[vandalize][разрушать портить]
[vanquish][побеждать покорять]
[vapid][пресный скучный]
[variable][изменчивый переменный]
[variegated][пестрый разноцветный]
[vehement][яростный страстный]
[velocity][скорость быстрота]
[venal][продажный корыстный]
[venerate][почитать чтить]
[venial][простительный извинительный]
[venomous][ядовитый злобный]
[veracity][правдивость истинность]
[verbose][многословный болтливый]
[verdant][зеленеющий цветущий]
[verge][грань край]
[verify][проверять подтверждать]
[verisimilitude][правдоподобие достоверность]
[veritable][истинный настоящий]
[versatile][разносторонний гибкий]
[vestige][след остаток]
[vex][раздражать беспокоить]
[viable][жизнеспособный осуществимый]
[vicarious][косвенный замещающий]
[waddle][переваливаться ковылять]
[waft][нестись веять]
[wag][вилять махать]
[waif][беспризорник скиталец]
[waive][отказываться отменять]
[wallow][барахтаться валяться]
[wan][бледный изнуренный]
[wane][убывать ослабевать]
[wanton][беспричинный распутный]
[warily][осторожно осмотрительно]
[warp][искривлять деформировать]
[warrant][оправдывать гарантировать]
[wary][осторожный подозрительный]
[waver][колебаться дрогнуть]
[wayward][своенравный капризный]
[weary][усталый утомленный]
[weir][плотина преграда]
[welter][разнобой путаница]
[wheedle][выманивать умасливать]
[whet][точить возбуждать]
[whim][прихоть каприз]
[whimsical][причудливый эксцентричный]
[wile][хитрость уловка]
[willful][преднамеренный упрямый]
[wily][хитрый лукавый]
[wince][вздрагивать морщиться]
[winsome][обаятельный прелестный]
[wither][вянуть сохнуть]
[wizened][сморщенный увядший]
[wreak][вымещать давать]
[xenial][гостеприимный]
[xenophobia][ксенофобия боязнь]
[xerox][копировать размножать]
[xeriscape][озеленение засухоустойчивость]
[xerophilous][засухоустойчивый]
[x-ray][рентген просвечивать]
[xylograph][гравюра оттиск]
[xylophone][ксилофон инструмент]
[xyloid][древесный подобный]
[xeric][сухой безводный]
[yacht][яхта судно]
[yahoo][грубиян невежа]
[yammer][ныть сетовать]
[yap][тявкать трындеть]
[yardstick][эталон мерило]
[yarn][пряжа байка]
[yawn][зевать зиять]
[yea][да истинно]
[yearn][тосковать стремиться]
[yeast][дрожжи закваска]
[yell][кричать вопить]
[yellow][желтый трусливый]
[yelp][визжать тявкать]
[yen][тяга страсть]
[yeoman][йомен помощник]
[yes-man][подхалим поддакивала]
[yield][уступать давать]
[yielding][податливый гибкий]
[yoke][иго бремя]
[yokel][деревенщина простофиля]
[yon][вон тот]
[yonder][вон там]
[yore][прошлое былое]
[youngster][юноша малец]
[youth][юность молодежь]
[yowl][выть завывать]
[yule][рождество святки]
[yummy][вкусный аппетитный]
[yuppie][карьерист щеголь]
[yurt][юрта шатер]
[zany][шутовской эксцентричный]
[zap][уничтожать атаковать]
[zeal][равение усердие]
[zealot][фанатик приверженец]
[zealous][ревностный ярый]
[zenith][зенит вершина]
[zephyr][зефир ветерок]
[zero][ноль ничто]
[zest][изюминка интерес]
[zigzag][зигзаг извилистый]
[zilch][ноль пустота]
[zillion][миллиард уйма]
[zinc][цинк оцинковывать]
[zing][энергия живость]
[zippy][энергичный быстрый]
[zone][зона область]
[zonk][ошеломлять вырубать]
[zoo][зоопарк неразбериха]
[zoom][увеличивать мчаться]
[zooty][щегольской модный]
[zounds][черт возьми]
[zucchini][цукини кабачок]
[zygote][зигота клетка]
[zealotry][фанатизм фанатичность]
[zero-in][нацеливаться фокусироваться]
[zestful][оживленный энергичный]
[zigzagging][виляние отклонение]
[zipper][молния застежка]
[zodiac][зодиак созвездие]
[zombie][зомби марионетка]
